task,model,rollout_length,mean,std,sem,n_seeds,rollout_repeats
hopper-medium-replay-v2,rnn,55,0.0900846869303839,0.016105627360083363,0.009298588291811932,3,20
hopper-medium-replay-v2,rnn,56,0.09450651093504236,0.017042299624650932,0.009839376275902475,3,20
hopper-medium-replay-v2,rnn,57,0.09830568337971245,0.017794289945094424,0.010273538089838517,3,20
hopper-medium-replay-v2,rnn,58,0.102407065362349,0.018280513248360063,0.010554259244865203,3,20
hopper-medium-replay-v2,rnn,59,0.10757987720773012,0.01876751425019928,0.010835429404372692,3,20
hopper-medium-replay-v2,rnn,60,0.11111347827511951,0.018743350567119562,0.010821478495442004,3,20
hopper-medium-replay-v2,rnn,61,0.11500591736688032,0.019211713530714908,0.011091887978552229,3,20
hopper-medium-replay-v2,rnn,62,0.11940753596557581,0.01986750341048183,0.011470508442167494,3,20
hopper-medium-replay-v2,rnn,63,0.12432887131433373,0.020245041103732483,0.011688479930994988,3,20
hopper-medium-replay-v2,rnn,64,0.12913580008532655,0.020286628629131075,0.011712490499978795,3,20
hopper-medium-replay-v2,rnn,65,0.13255037493016789,0.02108458409783482,0.012173190304636237,3,20
hopper-medium-replay-v2,rnn,66,0.13608751253515536,0.02187748495597124,0.012630971828521983,3,20
hopper-medium-replay-v2,rnn,67,0.1398776554811095,0.022211620761599785,0.012823885225847516,3,20
hopper-medium-replay-v2,rnn,68,0.14377663884401212,0.022068364765635434,0.01274117633801447,3,20
hopper-medium-replay-v2,rnn,69,0.14640758111763794,0.02226169031014018,0.012852792893175518,3,20
hopper-medium-replay-v2,rnn,70,0.15079704347972414,0.022301475442444926,0.012875762850021406,3,20
hopper-medium-replay-v2,rnn,71,0.15382517640933402,0.022972283147450808,0.013263053859081029,3,20
hopper-medium-replay-v2,rnn,72,0.15745479690490818,0.022549991370340635,0.013019243587889905,3,20
hopper-medium-replay-v2,rnn,73,0.1615924607259254,0.023093100972691943,0.013332808063006903,3,20
